Designator,Footprint,Quantity,Value,LCSC Part #
AE1,Texas_SWRA117D_2.4GHz_Left,1,Antenna_Chip,
"C1, C10, C11, C18, C19, C2, C3, C34, C35, C6, C7, C8",0805,12,10uF,
"C12, C22, C23, C4, C5",0805,5,100nF,
"C13, C14, C16, C38, C39",0805,5,22uF,
C17,CP_Elec_4x5.4,1,10uF,
C20,0805,1,220nF,
C24,CP_Elec_4x5.4,1,100nF,
"C25, C30",0603,2,220pF,
"C26, C29, C36, C41, C42, C43, C44, C45",0603,8,470pF,
C27,0603,1,4700pF,
C28,0603,1,0.047uF,
"C37, C40, C9",0805,3,1uF,
"D1, D2, D3, D5",0805,4,LED,
D6,D_SOD-123,1,D_Schottky,
F1,0603,1,Fuse (3A),
IC1,SOP100P600X180-11N,1,CH224K,C970725
IC2,SOP100P600X175-10N,1,CN3791,C154992
IC3,SKY6531321,1,SKY65313-21,C5144140
"IC4, IC7",TPS2121RUXT,2,TPS2121RUXT,C2156025
IC5,WioWM1110,1,Wio-WM1110,
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0,
J2,JST_EH_S5B-EH_1x05_P2.50mm_Horizontal,1,Conn_01x05_Socket,
"J3, J7",SMA_Molex_73251-1153_EdgeMount_Horizontal,2,Conn_Coaxial_Small,
"J4, J5",JST_EH_S2B-EH_1x02_P2.50mm_Horizontal,2,Conn_01x02_Socket,
J6,PinHeader_2x05_P1.27mm_Vertical,1,Conn_ARM_JTAG_SWD_10,
L1,L_SXN_SMDRI124,1,2.2uH,C2929497
L2,0805,1,10uH,
"L5, L9",0805,2,4.7uH,
"Q1, Q2",SOT-23_Handsoldering,2,PMOS,
R1,0805,1,6.8k,
R10,0805,1,120,
"R11, R4, R5, R6, R9",0805,5,10k,
R12,0805,1,51k,
"R13, R23",0805,2,51.1k,
"R14, R2, R3",0805,3,1k,
"R16, R17, R19, R22, R24",0805,5,4.7k,
R18,0805,1,22k,
R20,0805,1,100k,
R21,0805,1,700k,
"R25, R29, R31, R32",0805,4,5k,
"R26, R27, R28, R30",0805,4,23.7k,
"R36, R37, R38, R8",2512,4,0.1,
R7,0805,1,33.2k,
"S1, S2",SOT65P210X110-6N,2,MASWSS0136TR-3000,
SW2,SW_Push_1P1T_XKB_TS-1187A,1,SW_Push,C42420254
SW3,SS3235SL3,1,SW_DPDT_x2,C381098
"TP1, TP2, TP3, TP4, TP5, TP6",TestPoint_Pad_D2.0mm,6,TestPoint,
U1,SOT-23-6,1,TPS565208,C2650336
U2,Texas_R-PDSO-G6,1,TPS61222DCK,C116461
U3,Texas_R-PDSO-G6,1,TPS61222DCK,C116461 
U4,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,1,BME280,C92489
U5,Texas_RGV0016A_VQFN-16-1EP_4x4mm_P0.65mm_EP2.1x2.1mm,1,INA3221,C181255
U6,SOT-23-6,1,USBLC6-2SC6,
